year,age,value
1950,80 and up,0.005596723
1955,80 and up,0.005824705
1960,80 and up,0.006145886
1965,80 and up,0.006451834
1970,80 and up,0.0069708
1975,80 and up,0.007626135
1980,80 and up,0.008539828
1985,80 and up,0.009649483
1990,80 and up,0.01073152
1995,80 and up,0.011675687
2000,80 and up,0.011909857
2005,80 and up,0.013585251
2010,80 and up,0.015666006
2015,80 and up,0.0170138
2020,80 and up,0.018527857
2025,80 and up,0.019849649
2030,80 and up,0.022834783
2035,80 and up,0.027514328
2040,80 and up,0.031581214
2045,80 and up,0.036297133
2050,80 and up,0.040998922
1950,75 to 79,0.008649048
1955,75 to 79,0.008688679
1960,75 to 79,0.008817203
1965,75 to 79,0.009028716
1970,75 to 79,0.009093464
1975,75 to 79,0.009862728
1980,75 to 79,0.010936144
1985,75 to 79,0.011627222
1990,75 to 79,0.011940177
1995,75 to 79,0.011228578
2000,75 to 79,0.012899398
2005,75 to 79,0.014061777
2010,75 to 79,0.014681544
2015,75 to 79,0.015560186
2020,75 to 79,0.015825707
2025,75 to 79,0.018569596
2030,75 to 79,0.022414622
2035,75 to 79,0.024028191
2040,75 to 79,0.027110375
2045,75 to 79,0.029459246
2050,75 to 79,0.03066327
1950,70 to 74,0.014795432
1955,70 to 74,0.014655855
1960,70 to 74,0.014770455
1965,70 to 74,0.014478126
1970,70 to 74,0.015189692
1975,70 to 74,0.016247594
1980,70 to 74,0.017188335
1985,70 to 74,0.017401497
1990,70 to 74,0.016097148
1995,70 to 74,0.018022194
2000,70 to 74,0.01927952
2005,70 to 74,0.019830345
2010,70 to 74,0.020799846
2015,70 to 74,0.020794037
2020,70 to 74,0.023986866
2025,70 to 74,0.028686256
2030,70 to 74,0.030388329
2035,70 to 74,0.033887784
2040,70 to 74,0.036441941
2045,70 to 74,0.037560128
2050,70 to 74,0.037498044
1950,65 to 69,0.021805126
1955,65 to 69,0.021532517
1960,65 to 69,0.020931616
1965,65 to 69,0.021286159
1970,65 to 69,0.022313138
1975,65 to 69,0.023037389
1980,65 to 69,0.023193616
1985,65 to 69,0.021378405
1990,65 to 69,0.023382164
1995,65 to 69,0.024625381
2000,65 to 69,0.024870413
2005,65 to 69,0.025792632
2010,65 to 69,0.025557823
2015,65 to 69,0.029089861
2020,65 to 69,0.034452124
2025,65 to 69,0.036118774
2030,65 to 69,0.039863807
2035,65 to 69,0.042490221
2040,65 to 69,0.04344256
2045,65 to 69,0.043089029
2050,65 to 69,0.046800217
1950,60 to 64,0.029039904
1955,60 to 64,0.027877657
1960,60 to 64,0.028287461
1965,60 to 64,0.02877484
1970,60 to 64,0.029251923
1975,60 to 64,0.028878185
1980,60 to 64,0.026610967
1985,60 to 64,0.028901569
1990,60 to 64,0.029990745
1995,60 to 64,0.029783932
2000,60 to 64,0.030568544
2005,60 to 64,0.029963016
2010,60 to 64,0.033883539
2015,60 to 64,0.039774873
2020,60 to 64,0.041308106
2025,60 to 64,0.045140725
2030,60 to 64,0.047718759
2035,60 to 64,0.048462099
2040,60 to 64,0.047801148
2045,60 to 64,0.051558334
2050,60 to 64,0.055574566
1950,55 to 59,0.035069086
1955,55 to 59,0.035270067
1960,55 to 59,0.03599285
1965,55 to 59,0.035950365
1970,55 to 59,0.034997385
1975,55 to 59,0.031803936
1980,55 to 59,0.034446837
1985,55 to 59,0.035574733
1990,55 to 59,0.034783044
1995,55 to 59,0.03518854
2000,55 to 59,0.034115172
2005,55 to 59,0.0386104
2010,55 to 59,0.044843055
2015,55 to 59,0.046182763
2020,55 to 59,0.049994451
2025,55 to 59,0.052410822
2030,55 to 59,0.052893221
2035,55 to 59,0.051916891
2040,55 to 59,0.055652734
2045,55 to 59,0.059613417
2050,55 to 59,0.056802534
1950,50 to 54,0.042605564
1955,50 to 54,0.043126227
1960,50 to 54,0.043035156
1965,50 to 54,0.041550857
1970,50 to 54,0.037426207
1975,50 to 54,0.039926868
1980,50 to 54,0.04121838
1985,50 to 54,0.040177617
1990,50 to 54,0.040041757
1995,50 to 54,0.038275275
2000,50 to 54,0.042886374
2005,50 to 54,0.049672662
2010,50 to 54,0.050980812
2015,50 to 54,0.054728769
2020,50 to 54,0.056905008
2025,50 to 54,0.057047812
2030,50 to 54,0.055717978
2035,50 to 54,0.05939394
2040,50 to 54,0.063255068
2045,50 to 54,0.059991964
2050,50 to 54,0.056976967
1950,45 to 49,0.050452674
1955,45 to 49,0.050231151
1960,45 to 49,0.048783212
1965,45 to 49,0.043666719
1970,45 to 49,0.04599729
1975,45 to 49,0.046980767
1980,45 to 49,0.045730281
1985,45 to 49,0.045484696
1990,45 to 49,0.042795679
1995,45 to 49,0.04729097
2000,45 to 49,0.054491953
2005,45 to 49,0.055760472
2010,45 to 49,0.059586949
2015,45 to 49,0.061494921
2020,45 to 49,0.061259137
2025,45 to 49,0.059488788
2030,45 to 49,0.063054672
2035,45 to 49,0.06678476
2040,45 to 49,0.063052614
2045,45 to 49,0.059629159
2050,45 to 49,0.059390805
1950,40 to 44,0.058429792
1955,40 to 44,0.056301294
1960,40 to 44,0.050726415
1965,40 to 44,0.05280186
1970,40 to 44,0.053505813
1975,40 to 44,0.051542658
1980,40 to 44,0.051186489
1985,40 to 44,0.048042447
1990,40 to 44,0.052391636
1995,40 to 44,0.059565698
2000,40 to 44,0.060840269
2005,40 to 44,0.064610613
2010,40 to 44,0.066409696
2015,40 to 44,0.065742501
2020,40 to 44,0.063466511
2025,40 to 44,0.066840843
2030,40 to 44,0.070394653
2035,40 to 44,0.066160162
2040,40 to 44,0.062300059
2045,40 to 44,0.061781348
2050,40 to 44,0.063162414
1950,35 to 39,0.064508188
1955,35 to 39,0.058201048
1960,35 to 39,0.060300394
1965,35 to 39,0.061018378
1970,35 to 39,0.058233602
1975,35 to 39,0.05721652
1980,35 to 39,0.053603525
1985,35 to 39,0.058347578
1990,35 to 39,0.065388594
1995,35 to 39,0.066151962
2000,35 to 39,0.069895283
2005,35 to 39,0.071768599
2010,35 to 39,0.070678427
2015,35 to 39,0.067863614
2020,35 to 39,0.070998957
2025,35 to 39,0.074294436
2030,35 to 39,0.069490291
2035,35 to 39,0.065151205
2040,35 to 39,0.064324818
2045,35 to 39,0.065471351
2050,35 to 39,0.066553471
1950,30 to 34,0.066201129
1955,30 to 34,0.068116859
1960,30 to 34,0.06911882
