year,age,value
01-03-2022,GME,0.36111
03-01-2022,GME,0.3595
06-01-2022,GME,0.47289
09-01-2022,GME,0.49348
12-01-2022,GME,0.5284
01-03-2022,AMC,0.250638
03-01-2022,AMC,0.22131
06-01-2022,AMC,0.19959
09-01-2022,AMC,0.153242
12-01-2022,AMC,0.162296
01-03-2022,TLRY,0.069842
03-01-2022,TLRY,0.07067
06-01-2022,TLRY,0.065129
09-01-2022,TLRY,0.063939
12-01-2022,TLRY,0.0828
01-03-2022,BBBY,0.14328
03-01-2022,BBBY,0.2014
06-01-2022,BBBY,0.13057
09-01-2022,BBBY,0.15556
12-01-2022,BBBY,0.0703
01-03-2022,PLTR,0.17513
03-01-2022,PLTR,0.14714
06-01-2022,PLTR,0.131816
09-01-2022,PLTR,0.13377
12-01-2022,PLTR,0.156138
